Time,PV,OP
1,-1.431678767,0.322819566
2,1.01770783,-0.772086287
3,-0.469825739,-0.958506728
4,-0.17571258,-2.450572157
5,-1.667472834,-0.930812026
6,-4.80538177,0.407364702
7,-1.865074152,0.203106737
8,-2.084938044,0.938156938
9,-0.617042536,-0.746417189
10,0.833763128,-0.860858107
11,-0.279151911,-1.693785811
12,-2.93378448,-0.509493971
13,-3.647911066,0.151192521
14,7.228996282,-2.661784316
15,-0.562522883,-0.139468337
16,0.969032293,-0.013331557
17,1.411994939,-1.209838057
18,-3.797737116,-0.77142253
19,-3.01114654,1.254429674
20,0.063591009,-0.085658217
21,3.248222356,-1.096442366
22,-2.431724543,-0.230036879
23,-2.657768244,-0.731581832
24,-3.575828547,-1.38784709
25,-3.453895564,-0.392127181
26,-0.829933161,-0.131129408
27,0.96364594,-0.12367549
28,0.275444036,-1.335406447
29,-2.117942805,-1.577059889
30,-4.866798396,0.492443895
31,-2.283012385,-0.400187636
32,-1.612602229,-0.876479292
33,0.052726751,1.186016893
34,-1.716835017,0.411160325
35,1.179847723,-1.036654616
36,-0.072334284,-1.836081648
37,-4.303642268,-0.782527114
38,-2.735008234,0.613835191
39,-0.518898005,0.341065263
40,-0.094078059,-0.743106032
41,1.028511053,-1.648326064
42,-1.239997858,-2.048529769
43,-1.37140655,-1.497355605
44,-2.486808772,-1.27362361
45,-4.956184382,-0.061946059
46,-2.569511408,1.310940599
47,11.92687226,0.323273515
48,-0.17571258,-0.314780379
49,0.952796941,-0.328753615
50,0.101646429,-0.534526015
51,0.145118719,-1.412135268
52,-1.777229304,-1.288165236
53,-0.748023982,-0.071341658
54,-2.845405573,0.834915971
55,15.03740693,-0.898600722
56,-3.764457697,-0.677901412
57,-1.043037409,-1.200724745
58,-4.125602717,0.423588609
59,1.438972478,-0.840144301
60,0.432807928,-1.052615309
61,-2.062919611,-0.865637923
62,-1.365959162,0.611538743
63,-0.666160578,-1.362406874
64,-1.272850031,-1.008235121
65,-0.164817805,-0.412840987
66,-1.146965022,-0.688170577
67,0.416557317,-1.144808913
68,-2.04642486,-0.591391707
69,-3.531486506,-1.486289168
70,-1.491966242,-0.567710066
71,-0.655220026,-1.52306285
72,-2.150917048,-1.326586867
73,-2.994560236,0.172459459
74,-4.777473444,1.630444383
75,-0.824470515,-0.539401198
76,-1.272850031,-0.947859908
77,-0.780784602,-2.73866191
78,-4.565498347,-0.461039687
79,-3.758903498,0.515381669
80,-0.546150202,-0.001818801
81,-1.920021052,-0.270114089
82,1.147422796,-0.896903182
83,0.579231268,0.614228105
84,-4.047752375,-0.395991469
85,0.172264104,0.987988328
86,-1.092277522,-0.471949721
87,-1.344032282,-0.382781172
88,-2.194969172,0.112297868
89,-2.989051814,1.10030446
90,-0.497077937,-1.521681929
91,-1.043037409,0.410336351
92,0.562965398,-1.686457778
93,-1.568717951,-0.864768172
94,-0.726203913,-1.318057204
95,-0.518898005,0.216324663
96,-1.25093841,-0.387618208
97,-3.033271784,0.997528886
98,-2.31053924,-6.10402217
99,0.844612127,-0.057227278
100,-0.36081695,-0.317149306
101,0.704917913,-1.724726821
102,-3.09960174,-0.649306441
103,-2.294029231,0.357884263
104,-3.431739802,0.785168504
105,-4.153404231,0.402714586
106,-1.119606013,1.205696916
107,-5.325340266,-6.843173171
108,-2.66878509,-0.842566634
109,2.873863226,-1.977393294
110,-1.996971125,-0.936957503
111,-2.101432795,0.067116594
112,-2.751564021,-5.335215712
113,-1.239997858,0.163304185
114,18.53528596,-0.038508559
115,-0.840858454,-0.728461409
116,0.270011907,-0.471465254
117,1.179847723,-1.22977748
118,-2.22246551,0.103497362
119,-4.665870661,-8.457423354
120,-3.664558405,-0.165820265
121,-3.088554377,-0.757601882
122,-3.000099177,0.306038713
123,-2.194969172,-0.66708293
124,0.036415105,-0.191767836
125,0.579231268,0.425198411
126,1.422782903,-0.536448622
127,-1.420722956,-0.128340865
128,-2.519889826,-0.033732558
129,0.242866521,-0.796282912
130,0.74175263,0.01052556
131,0.18857575,-0.125670577
132,-1.541313166,0.536255693
133,3.653816228,0.605130052
134,-0.393516535,-0.072199965
135,-0.317253107,0.316841936
136,-0.224678034,-0.064856673
137,-1.08133697,0.092324113
138,-2.906150813,0.173966264
139,0.459938055,-1.411547804
140,1.49829865,-1.297755385
141,1.1690445,-1.124117995
142,-3.453895564,-0.082072402
143,0.736320501,-0.779475356
144,14.80606843,-0.22662654
145,1.60074616,-0.877547408
146,0.806709295,-1.144080306
147,0.226570135,-0.759841109
148,1.530662542,0.361843919
149,-1.25093841,0.230873918
150,-3.964363093,0.720265245
151,-0.115867609,0.088085985
152,0.504005437,-1.042174483
153,1.789329534,-1.345397139
154,3.274925237,-1.002982283
155,1.212272649,-0.742030287
156,-0.290016169,-1.174594069
157,-4.710502619,0.287323808
158,2.450462347,-0.638583327
159,-0.922782893,-0.991404677
160,0.373130804,-0.183283949
161,0.079902654,-1.691382552
162,-1.475517268,0.677864885
163,-1.294761652,-4.940356398
164,-0.988380427,0.210175371
165,-1.629051203,0.253960466
166,-0.20835113,0.008866167
167,-1.470054621,-0.085021163
168,-0.159385676,-1.664801741
169,0.02010346,-0.609778548
170,-0.420753474,-0.831912184
171,-0.939170832,0.422089433
172,2.568443304,0.305470323
173,0.920341497,-0.006030226
174,-0.066902155,-0.765742446
175,-1.032112116,-0.01965251
176,-0.818992609,0.23336873
177,1.902366643,-1.17200389
178,1.438972478,-1.381457472
179,-1.103202815,-0.28780284
180,-0.993858332,0.859448289
181,-1.10868072,1.02645955
182,-1.294761652,1.091465806
183,1.136619573,0.151932573
184,-3.37631988,-0.030581618
185,-1.804664607,1.750981187
186,-0.349937434,0.345444536
187,0.655067449,-0.27488246
