Time,PV,OP
1,0.305166164,0.028588849
2,0.408761897,0.010834294
3,0.590604701,0.009627419
4,0.714891353,0.012021618
5,0.672052303,0.01532753
6,0.623502651,0.01582058
7,0.765188136,0.016914921
8,0.630151668,0.020571309
9,0.531030574,0.029890137
10,0.374177852,0.030257779
11,0.315256038,0.014235573
12,0.334299007,0.018042641
13,0.36897842,0.019753056
14,0.362115779,0.013630467
15,0.361936488,0.020819741
16,0.400869289,0.008412915
17,0.450860896,0.015991288
18,0.369939723,0.010348874
19,0.39492599,0.013542729
20,0.427160182,0.014496403
21,0.3738269,0.008313733
22,0.433534541,0.014075833
23,0.314168849,0.029993611
24,0.329114833,0.007445412
25,0.43695251,0.013828354
26,0.54683868,0.019628125
27,0.657323757,0.010595398
28,0.597429195,0.018853741
29,0.589464107,0.02231844
30,0.683332362,0.00893076
31,0.721063533,0.013459759
32,0.590875545,0.021877842
33,0.434797206,0.021898346
34,0.340757289,0.016721802
35,0.296811977,0.01853283
36,0.357137599,0.019149857
37,0.385377803,0.018680172
38,0.414129176,0.012828904
39,0.330697933,0.02118166
40,0.277471462,0.021533566
41,0.368265071,0.014041501
42,0.379880824,0.019026356
43,0.446996608,0.010280209
44,0.493482509,0.012229996
45,0.534505763,0.012636261
46,0.548814693,0.018724041
47,0.405496517,0.017947751
48,0.437513271,0.016936856
49,0.527479091,0.017096119
50,0.71688644,0.009404736
51,0.785421291,0.012608605
52,0.717332759,0.017312603
53,0.741125026,0.013718205
54,0.717000881,0.010699349
55,0.660806575,0.026498394
56,0.575128475,0.029635506
57,0.397005,0.024716931
58,0.346883693,0.011293488
59,0.434598842,0.017092782
60,0.504728237,0.016795235
61,0.484403529,0.010125237
62,0.430944362,0.025565701
63,0.389169612,0.026544648
64,0.473096767,0.022827702
65,0.434827724,0.016584473
66,0.464429775,0.019442158
67,0.38591949,0.013799267
68,0.374822536,0.023303586
69,0.378637233,0.018956738
70,0.433980861,0.017504769
71,0.54916946,0.006230908
72,0.636167446,0.012913304
73,0.725217738,0.019182759
74,0.679220119,0.018994408
75,0.691373744,0.030036049
76,0.720056453,0.010557728
77,0.778974452,0.014420586
78,0.673238674,0.021969395
79,0.41446487,0.025902825
80,0.293310085,0.013284283
81,0.334237972,0.004096108
82,0.418790737,0.006547528
83,0.27881042,0.024570542
84,0.45736877,0.009864884
85,0.375078121,0.019591885
86,0.368036189,0.018091279
87,0.413030544,0.007861691
88,0.387655177,0.008802014
89,0.395986476,0.010991173
90,0.326982417,0.020983773
91,0.357213893,0.01045044
92,0.28581039,0.019563752
93,0.379659572,0.010627823
94,0.439790645,0.021704274
95,0.616933742,0.004376965
96,0.72734634,0.014241772
97,0.722433009,0.026778775
98,0.650419154,0.019257145
99,0.613134303,0.015446263
100,0.725004115,0.023577767
101,0.69495956,0.017179566
102,0.535531917,0.033421593
103,0.351793208,0.022851544
104,0.390718379,0.011254387
105,0.317068019,0.030114727
106,0.376520076,0.006382542
107,0.401643672,0.011899548
108,0.47607986,0.009597855
109,0.337999263,0.013524132
110,0.323503414,0.022529202
111,0.388151088,0.006952363
112,0.395044246,0.005345421
113,0.437726894,0.015580254
114,0.471803584,0.018678742
115,0.42252914,0.015179234
116,0.368898311,0.020129757
117,0.273828426,0.014422017
118,0.44608871,0.009555893
119,0.696649471,0.017173844
120,0.744340816,0.009597855
121,0.697050014,0.027439671
122,0.590166011,0.024151879
123,0.818323055,0.012424069
124,0.694417873,0.019051629
125,0.4322261,0.028023797
126,0.346994319,0.013991433
127,0.370004573,0.019776421
128,0.348043361,0.025907116
129,0.437498012,0.017500477
130,0.371469417,0.010927277
131,0.313852229,0.017497139
132,0.39757339,0.01582058
133,0.372018733,0.013492184
134,0.368936458,0.005535203
135,0.383302608,0.012591916
136,0.478769222,0.015384274
137,0.425798335,0.010708886
138,0.371480861,0.014541703
139,0.359956661,0.017922001
140,0.387525478,0.019426899
141,0.473535457,0.012290555
142,0.460168758,0.014875012
143,0.402707973,0.023782807
144,0.426732936,0.013582783
145,0.341665187,0.015497284
146,0.532323757,0.009430485
147,0.437620082,0.024075108
148,0.314210811,0.026889878
149,0.138593593,0.019927578
150,0.13730804,0.013297158
151,0.179639736,0.016976433
152,0.227727809,0.015712815
153,0.261602321,0.017395096
154,0.171861568,0.019098359
155,0.130277553,0.011087494
156,0.249750057,0.013960438
157,0.265405574,0.01634367
158,0.232702175,0.014366227
159,0.252462306,0.024432736
160,0.248487392,0.008135872
161,0.317739406,0.007608014
162,0.194005885,0.028841095
163,0.239385524,0.022800999
164,0.331128993,0.01058157
165,0.396276393,0.01709898
166,0.457918086,0.016283112
167,0.55899612,0.019381123
168,0.450082698,0.01985653
169,0.502595821,0.000685292
170,0.51804153,0.014587002
171,0.401807704,0.031785565
172,0.304346004,0.020866948
173,0.212137142,0.031777459
174,0.153551021,0.019899445
175,0.187284389,0.013902264
176,0.291410365,0.012820797
177,0.211393276,0.025562363
178,0.228715816,0.01163395
179,0.216661373,0.017529564
180,0.197149196,0.015238362
181,0.228044429,0.015109139
182,0.282468715,0.00735672
183,0.216623226,0.015869694
