Time,PV,OP
1,2.824170715,14.78567661
2,1.924170715,15.38567661
3,0.794170715,15.50567661
4,-0.305829285,15.21567661
5,-1.695829285,14.36567661
6,-2.795829285,13.11567661
7,-3.325829285,11.69567661
8,-3.245829285,10.39567661
9,-2.975829285,9.245676613
10,-2.575829285,8.305676613
11,-2.195829285,7.515676613
12,-1.635829285,6.985676613
13,-1.065829285,6.655676613
14,-0.645829285,6.445676613
15,-0.145829285,6.465676613
16,0.474170715,6.745676613
17,0.894170715,7.145676613
18,1.434170715,7.785676613
19,1.844170715,8.545676613
20,2.394170715,9.565676613
21,2.854170715,10.73567661
22,3.274170715,12.08567661
23,3.454170715,13.48567661
24,2.764170715,14.45567661
25,2.154170715,15.19567661
26,0.944170715,15.34567661
27,-0.055829285,15.14567661
28,-1.355829285,14.42567661
29,-2.365829285,13.36567661
30,-3.005829285,12.06567661
31,-3.025829285,10.84567661
32,-2.825829285,9.745676613
33,-2.395829285,8.905676613
34,-1.835829285,8.255676613
35,-1.375829285,7.775676613
36,-0.965829285,7.425676613
37,-0.545829285,7.315676613
38,0.034170715,7.315676613
39,0.424170715,7.545676613
40,0.684170715,7.815676613
41,1.174170715,8.385676613
42,1.564170715,9.015676613
43,1.924170715,9.815676613
44,2.374170715,10.80567661
45,2.854170715,12.00567661
46,3.174170715,13.23567661
47,2.784170715,14.27567661
48,2.174170715,14.99567661
49,1.244170715,15.30567661
50,0.204170715,15.24567661
51,-0.735829285,14.75567661
52,-1.915829285,13.85567661
53,-2.805829285,12.59567661
54,-3.045829285,11.36567661
55,-2.865829285,10.24567661
56,-2.515829285,9.385676613
57,-1.945829285,8.705676613
58,-1.315829285,8.255676613
59,-0.935829285,7.865676613
60,-0.475829285,7.715676613
61,-0.095829285,7.765676613
62,0.254170715,7.935676613
63,0.694170715,8.285676613
64,1.344170715,8.865676613
65,1.604170715,9.515676613
66,2.164170715,10.38567661
67,2.334170715,11.36567661
68,2.884170715,12.52567661
69,2.754170715,13.63567661
70,2.494170715,14.54567661
71,1.434170715,15.06567661
72,0.644170715,15.10567661
73,-0.225829285,14.83567661
74,-1.225829285,14.22567661
75,-2.115829285,13.25567661
76,-3.005829285,11.92567661
77,-2.995829285,10.77567661
78,-2.485829285,9.835676613
79,-2.015829285,9.075676613
80,-1.765829285,8.455676613
81,-1.395829285,7.995676613
82,-0.975829285,7.725676613
83,-0.435829285,7.655676613
84,-0.065829285,7.735676613
85,0.424170715,7.935676613
86,0.914170715,8.335676613
87,1.194170715,8.855676613
88,1.584170715,9.545676613
89,1.954170715,10.37567661
90,2.514170715,11.36567661
91,2.734170715,12.45567661
92,2.854170715,13.58567661
93,2.324170715,14.40567661
94,1.734170715,14.96567661
95,0.774170715,15.09567661
96,-0.035829285,14.97567661
97,-1.055829285,14.38567661
98,-1.925829285,13.51567661
99,-2.965829285,12.20567661
100,-3.035829285,11.02567661
101,-2.715829285,9.975676613
102,-2.345829285,9.055676613
103,-1.925829285,8.335676613
104,-1.515829285,7.805676613
105,-0.945829285,7.505676613
106,-0.585829285,7.335676613
107,-0.165829285,7.315676613
108,0.294170715,7.485676613
109,0.844170715,7.885676613
110,1.254170715,8.405676613
111,1.534170715,9.005676613
112,2.054170715,9.855676613
113,2.444170715,10.81567661
114,2.734170715,11.91567661
115,3.164170715,13.14567661
116,2.774170715,14.14567661
117,2.234170715,14.92567661
118,1.134170715,15.18567661
119,0.164170715,15.10567661
120,-0.745829285,14.62567661
121,-1.955829285,13.65567661
122,-2.875829285,12.33567661
123,-3.055829285,11.05567661
124,-2.795829285,9.995676613
125,-2.605829285,9.035676613
126,-1.975829285,8.355676613
127,-1.415829285,7.875676613
128,-1.095829285,7.445676613
129,-0.475829285,7.355676613
130,-0.205829285,7.255676613
131,0.254170715,7.435676613
132,0.654170715,7.775676613
133,1.134170715,8.285676613
134,1.474170715,8.905676613
135,2.034170715,9.775676613
136,2.244170715,10.68567661
137,2.724170715,11.85567661
138,3.144170715,13.12567661
139,2.864170715,14.13567661
140,2.204170715,14.88567661
141,1.154170715,15.17567661
142,0.334170715,15.18567661
143,-0.725829285,14.68567661
144,-1.915829285,13.79567661
145,-2.835829285,12.54567661
146,-2.895829285,11.39567661
147,-2.605829285,10.33567661
148,-2.445829285,9.375676613
149,-1.965829285,8.655676613
150,-1.535829285,8.085676613
151,-1.075829285,7.725676613
152,-0.655829285,7.525676613
153,-0.295829285,7.475676613
154,0.094170715,7.555676613
155,0.634170715,7.895676613
156,0.974170715,8.295676613
157,1.354170715,8.875676613
158,1.864170715,9.625676613
159,2.144170715,10.44567661
160,2.474170715,11.45567661
161,2.734170715,12.58567661
162,2.644170715,13.67567661
163,2.404170715,14.57567661
164,1.544170715,15.03567661
165,0.674170715,15.15567661
166,-0.305829285,14.87567661
167,-1.305829285,14.18567661
168,-2.245829285,13.14567661
169,-2.925829285,11.85567661
170,-2.985829285,10.71567661
171,-2.465829285,9.865676613
