Time,PV,OP
1,0.024911436,3.923200464
2,-0.010595766,5.634811258
3,-0.078363863,5.512512064
4,-0.126200167,4.265941477
5,-0.108862368,3.830335474
6,-0.107008425,3.482772684
7,-0.197767702,0.250024653
8,-0.197952715,-2.297195578
9,-0.131575075,-2.877784872
10,-0.06492087,-1.775808477
11,-0.061766116,-1.051000738
12,-0.078918902,-0.874912405
13,-0.090601412,-0.962900305
14,-0.106266466,-1.561599874
15,-0.096437899,-1.710964346
16,-0.093195406,-1.544790411
17,-0.090971438,-1.349321508
18,-0.093567339,-1.453603887
19,-0.100611178,-1.360021734
20,-0.083090273,-1.070776129
21,-0.086058108,-0.9897367
22,-0.095697848,-0.958164358
23,0.027043852,1.668830729
24,0.00488809,4.136466837
25,-0.027838198,5.214504099
26,-0.078363863,5.161615229
27,-0.121656863,4.081884241
28,-0.110624758,3.468471384
29,-0.098385302,3.497159815
30,-0.16383597,1.720359659
31,-0.209448305,-1.391803884
32,-0.14900252,-2.606598043
33,-0.094168154,-2.241464758
34,-0.06649634,-1.263300085
35,-0.058340517,-0.579742575
36,-0.080679385,-0.817569876
37,-0.094955889,-1.177496099
38,-0.090042559,-1.179609442
39,-0.077436892,-0.767831945
40,-0.067793337,-0.309061193
41,-0.070574252,0.096504068
42,-0.07789847,0.182191706
43,-0.079569308,0.459438181
44,-0.098850695,0.149265146
45,-0.106174914,-0.193035269
46,-0.095699755,-0.204219961
47,0.00470117,3.2288836
48,-0.013931719,5.024417734
49,-0.049623934,5.718147135
50,-0.107656924,4.901574946
51,-0.119152514,4.117919779
52,-0.094772784,4.062282419
53,-0.12805411,3.289176798
54,-0.192203966,0.341371393
55,-0.178390948,-1.71018424
56,-0.114603487,-1.878589773
57,-0.06473395,-0.985916281
58,-0.080774752,-0.6772367
59,-0.07966086,-0.509967947
60,-0.108028857,-0.947759771
61,-0.102930514,-1.235222006
62,-0.080587832,-1.039127493
63,-0.084019152,-0.9356462
64,-0.095421282,-1.142320776
65,-0.094217745,-1.050399923
66,-0.090322939,-0.9459764
67,-0.07613608,-0.397623205
68,-0.070295779,-0.087589407
69,-0.001322237,2.129180765
70,-0.009577242,3.948438501
71,-0.032566515,5.221980906
72,-0.094770876,4.658210611
73,-0.125921694,3.712200022
74,-0.109417406,3.140533304
75,-0.095236269,3.017387247
76,-0.163000552,1.490463114
77,-0.199900118,-1.172065878
78,-0.159294573,-2.508690023
79,-0.100981203,-2.212930822
80,-0.073818652,-1.34724822
81,-0.081514803,-1.066242361
82,-0.100147692,-1.293602133
83,-0.091713396,-1.310220861
84,-0.087263552,-1.363245153
85,-0.086058108,-1.288509512
86,-0.08457419,-1.27477088
87,-0.100054232,-1.61668601
88,-0.09421393,-1.397419119
89,-0.07808539,-0.915193701
90,-0.075302569,-0.556503439
91,-0.082628695,-0.52010932
92,0.004329237,1.733547068
93,-0.010689226,3.495544291
94,-0.031082598,4.785770273
95,-0.083090273,4.608449793
96,-0.114794222,3.726707316
97,-0.105432955,3.31756196
98,-0.107193438,2.984643793
99,-0.096163241,3.118251658
100,-0.196192232,-0.313047552
101,-0.180616824,-2.301971578
102,-0.106358019,-2.090103292
103,-0.074099032,-1.27285018
104,-0.064918963,-0.671226644
105,-0.089951006,-0.770313406
106,-0.102190462,-1.273164892
107,-0.107193438,-1.61565032
108,-0.105617968,-1.824276113
109,-0.084295718,-1.411811972
110,-0.067980257,-0.883596563
111,-0.087633578,-0.852085256
112,-0.088375536,-0.850332403
113,-0.077806918,-0.681627417
114,-0.088930575,-0.760841513
115,-0.089580981,-0.737358236
116,-0.005867449,2.053340769
117,-0.003550021,4.130409098
118,-0.053982226,4.761827326
119,-0.105709521,3.989116526
120,-0.103113619,3.488733149
121,-0.109419314,2.888976908
122,-0.130461184,2.290847635
123,-0.200085131,-1.069255972
124,-0.177650896,-2.969257498
125,-0.08939406,-2.37613883
126,-0.063806979,-1.490415716
127,-0.073912112,-1.216684484
128,-0.093382326,-1.26837554
129,-0.100147692,-1.626831198
130,-0.105524508,-2.017353201
131,-0.092361895,-1.866424703
132,-0.083275286,-1.556736135
