Time,PV,OP
1,0.129702624,3.209538221
2,0.296931323,2.303971052
3,0.380435046,1.9467628
4,0.108775195,1.47964549
5,0.049792346,1.237828016
6,0.11828905,0.953804731
7,0.274134692,0.575470685
8,0.114481982,0.266617536
9,0.450602588,-0.533549548
10,0.257044848,-0.912020922
11,0.577532825,-1.419310809
12,0.236147937,-1.711535693
13,-0.020665113,-1.812171221
14,-0.306797925,-1.360099078
15,-0.325901929,-0.673995257
16,-0.218960706,-0.37903142
17,-0.136929456,-0.110839129
18,-0.354573194,0.314976453
19,-0.42531294,0.715550184
20,-0.190342847,1.084126234
21,-0.551625196,1.644993543
22,-0.51716322,2.354080915
23,-0.605259839,2.840248823
24,-0.576527539,3.417797803
25,-0.182705823,3.665837049
26,0.063113269,3.253556013
27,0.274134692,2.790089368
28,0.076434192,2.545338392
29,-0.041623059,2.308708906
30,0.08024126,2.031727552
31,0.047884997,1.732079267
32,0.09926897,1.314041852
33,-0.068295423,1.214859724
34,0.110674914,1.073803663
35,-0.138836804,0.95810008
36,0.02504259,0.805630445
37,0.232348498,0.687706708
38,0.112582263,0.303837537
39,0.323504504,0.009999036
40,0.359568652,-0.226592303
41,0.374743518,-0.311148882
42,-0.032093946,-0.427645922
43,-0.096882764,-0.204539538
44,-0.079731885,0.14698863
45,-0.511418286,0.619797468
46,-0.266690198,0.750870466
47,0.011706408,0.935894727
48,-0.364125196,1.168267011
49,-0.3125276,1.395947217
50,-0.2762422,1.770455121
51,0.146815356,1.700260877
52,-0.041623059,1.584030866
53,0.291224536,1.315872907
54,0.537760791,0.743626356
55,0.598361072,0.210789442
56,0.668368396,-0.405757189
57,0.885668811,-1.073558093
58,0.789362964,-1.782778979
59,0.721324023,-2.080638171
60,0.452494678,-2.298674822
61,0.209544238,-2.235244036
62,0.241847095,-2.003833056
63,0.122096118,-1.630206347
64,-0.201786939,-1.299880267
65,0.150614795,-0.879046679
66,0.213351306,-1.059306384
67,0.150614795,-1.116255999
68,-0.17316908,-0.932158709
69,-0.708790723,0.070172071
70,-0.49802107,0.956383466
71,-0.404278699,1.321175336
72,0.007899341,1.504326581
73,-0.293423596,1.785618543
74,-0.127385083,1.806584119
75,-0.188427869,1.84292674
76,0.300723132,1.576447248
77,0.323504504,1.064343214
78,0.247546252,0.55795741
79,0.310214099,0.206528425
80,0.150614795,0.074742078
81,0.055499133,-0.07232976
82,-0.028286878,-0.034793139
83,-0.165539685,0.257050275
84,-0.39280409,0.871872663
85,-0.408101026,1.184365034
86,-0.285786572,1.888470411
87,-0.2762422,2.215122938
88,-0.243779126,2.618744611
89,-0.34692854,2.830353498
90,-0.150273267,3.007733106
91,-0.093075696,3.041409254
92,-0.154087964,2.896450757
93,-0.119763318,3.070553541
94,-0.083538953,2.920906782
95,-0.245686475,2.965210676
96,-0.278149549,3.003811597
97,-0.190342847,3.133187055
98,0.471453723,2.477852582
99,0.687289294,1.598301649
100,0.795031604,0.786267042
101,0.757235583,-0.069529772
102,0.713763293,-0.71225667
103,0.43922716,-1.027796984
104,0.815814075,-1.393058062
105,0.509348926,-1.615370989
106,0.257044848,-1.797232867
107,0.344378528,-1.882930041
108,0.241847095,-1.987776995
109,0.262744006,-1.857524157
110,0.125895556,-1.747565508
111,-0.494191113,-1.113936663
112,-0.739483777,-0.158911944
113,-0.536305371,0.738571882
114,-0.716458264,1.405632734
115,-0.561200086,2.064030408
116,0.021235522,2.012310743
117,0.175334033,1.58523631
118,0.594569262,1.03112483
119,0.418368396,0.798954725
120,0.61539751,0.115120649
