Time,PV,OP
1,-0.726148705,0
2,-0.549490074,0
3,-0.498060326,0
4,-0.389536003,0
5,-0.388980965,0
6,-0.362367729,0
7,-0.330263237,0
8,-0.271183113,0
9,-0.080898384,0
10,-0.07326136,0
11,0.077169319,0
12,0.071218391,0
13,0.123084923,0
14,0.104734322,0
15,-0.011745552,0
16,-0.142646889,0
17,-0.174970726,0
18,-0.320861916,0
19,-0.420078377,0
20,-0.460697273,0
21,-0.488573174,0
22,-0.636474709,0
23,-0.695642571,0
24,-0.722190956,0
25,-0.810028175,0
26,-0.727844338,0
27,-0.701852898,0
28,-0.620729546,0
29,-0.5875989,0
30,-0.591528038,0
31,-0.466827492,0
32,-0.485223869,0
33,-0.484109978,0
34,-0.419523338,0
35,-0.397859673,0
36,-0.275592903,0
37,-0.296005348,0
38,-0.213394264,0
39,-0.260160545,0
40,-0.244743446,0
41,-0.141004662,0
42,-0.134985069,0
43,-0.124591927,0
44,-0.182100395,0
45,-0.288278679,0
46,-0.337453941,0
47,-0.328050713,0
48,-0.496383766,0
49,-0.520403008,0
50,-0.57638369,0
51,-0.546690086,0
52,-0.574140648,0
53,-0.535499672,0
54,-0.435646156,0
55,-0.340774635,0
56,-0.204053978,0
57,0.067432304,0
58,0.069595238,0
59,0.169965645,0
60,0.131177803,0
61,0.153814217,0
62,0.170505424,0
63,0.102031608,0
64,0.04089727,0
65,-0.052551369,0
66,-0.098363976,0
67,-0.115299324,0
68,-0.191976647,0
69,-0.351291756,0
70,-0.525993446,0
71,-0.77314196,0
72,-0.6134244,0
73,-0.552290062,0
74,-0.647167305,0
75,-0.528787712,0
76,-0.501968483,0
77,-0.479648689,0
78,-0.340774635,0
79,-0.296005348,0
80,-0.271734337,0
81,-0.31312571,0
82,-0.345201592,0
83,-0.408966164,0
84,-0.242540459,0
85,-0.451231102,0
86,-0.447889427,0
87,-0.631975273,0
88,-0.712019066,0
89,-0.849842171,0
90,-0.97441111,0
91,-0.840732674,0
92,-0.758974175,0
93,-0.688871483,0
94,-0.78618441,0
95,-0.899448494,0
96,-0.765205483,0
97,-0.957214455,0
98,-0.662370781,0
99,-0.46348391,0
100,-0.380659203,0
101,-0.172073464,0
102,-0.085262398,0
103,0.008893867,0
104,0.034934898,0
105,-0.029691795,0
106,0.043062111,0
107,-0.033498863,0
108,0.065267464,0
109,0.104192634,0
110,0.113912483,0
111,-0.071626762,0
112,-0.228237251,0
113,-0.401746849,0
114,-0.536619286,0
115,-0.721061806,0
116,-0.636474709,0
117,-0.629163841,0
118,-0.424524407,0
119,-0.50587664,0
120,-0.173874001,0
121,0.057145973,0
122,0.114452263,0
123,0.26497831,0
124,0.24623098,0
125,0.133333107,0
126,0.261766334,0
127,0.211358925,0
128,0.225314995,0
129,0.158660789,0
130,0.051191231,0
131,0.056606193,0
132,-0.061815361,0
133,-0.029144386,0
134,-0.114751915,0
135,-0.273939232,0
136,-0.392864327,0
137,-0.518165688,0
138,-0.59377108,0
139,-0.566852669,0
140,-0.543333153,0
141,-0.297662834,0
142,-0.102186302,0
143,0.160276314,0
144,0.245695015,0
145,0.26979818,0
146,0.260160347,0
147,0.248908897,0
148,0.180189033,0
149,0.237651726,0
150,0.043062111,0
151,0.029512306,0
152,-0.18849955,0
153,-0.357380013,0
154,-0.239238838,0
155,-0.243640999,0
156,-0.328603844,0
157,-0.487457375,0
158,-0.371788124,0
159,-0.432310204,0
160,-0.434536079,0
161,-0.355720619,0
162,-0.324180702,0
163,-0.333582024,0
164,-0.230436424,0
165,-0.052007774,0
166,-0.204603294,0
167,-0.064539055,0
168,0.091766258,0
169,0.223169228,0
170,0.161893745,0
171,0.025714775,0
172,-0.05527697,0
173,-0.340774635,0
174,-0.4189683,0
175,-0.386760811,0
176,-0.578064064,0
177,-0.603315453,0
178,-0.674770454,0
179,-0.621292214,0
180,-0.68266497,0
181,-0.66575251,0
182,-0.473514656,0
183,-0.508670906,0
184,-0.425638298,0
185,-0.333028893,0
186,-0.232635597,0
187,-0.275041679,0
188,-0.259060005,0
189,-0.325840096,0
190,-0.32307444,0
191,-0.216142754,0
