Time,PV,OP
1,-0.125644221,-0.805052001
2,0.49708222,0.526344102
3,-1.206790461,-0.698141295
4,-0.286613001,0.021968644
5,1.847488867,0.312118333
6,1.028194891,1.467263978
7,-0.372657313,-0.021423537
8,0.782291876,0.118425172
9,-0.280307307,-1.713934142
10,-0.342616572,-0.112590987
11,0.196289526,0.296548646
12,-0.526206507,0.661557954
13,-0.870391382,-0.395054061
14,0.487438665,0.615440171
15,-0.598529352,1.100383561
16,-0.049239649,-0.80392285
17,0.214462744,0.498315614
18,0.00565003,0.541955751
19,-0.767653956,-0.562597472
20,0.317936407,0.265788835
21,-0.272151484,-0.618635375
22,-0.285869135,-0.868505675
23,1.495140539,-0.013389785
24,0.059429632,0.439485353
25,0.593883978,0.837388795
26,0.420673834,-0.823278624
27,-0.68235351,1.4955347
28,-0.09560348,0.442804139
29,0.479275213,-0.025678832
30,0.091694341,-0.378484923
31,0.38877915,-1.096826751
32,0.151039587,-0.582891661
33,-0.214705958,-0.457637984
34,1.583042608,1.060220521
35,-0.159392847,0.54425792
36,0.466293798,0.127128404
37,-0.37080337,1.070924562
38,-0.660468592,0.270084184
39,-1.273917689,0.538595002
40,0.511173712,-0.152738768
41,0.568661199,0.014261049
42,0.289009558,-0.302734572
43,1.345673071,-0.434755523
44,-0.074088587,0.089074891
45,0.557163702,-0.300075728
46,0.057571874,0.880210679
47,-0.211318506,-0.854482848
48,-0.546603693,0.295425218
49,-0.147159113,-0.22636624
50,-0.438678278,0.808711808
51,-0.506545557,0.893611711
52,-0.261020197,-0.270000655
53,0.093552099,-0.052036483
54,0.461101995,-0.199978072
55,-0.841456904,0.96808986
56,0.556763159,0.9504507
57,0.635418402,0.878989976
58,0.141399847,0.146707338
59,1.15207337,0.15835933
60,0.480015264,0.187879365
61,-0.656756891,0.823013108
62,-1.002059473,1.036903184
63,-0.262504114,-0.465027053
64,0.252293096,0.393041413
65,-1.234233393,0.895831865
66,-0.27622558,-0.080949981
67,0.126934515,-0.282221038
68,-0.802146448,0.306035798
69,-0.96719314,-0.037220198
70,-0.849620356,-0.065366942
71,-0.578498377,-0.823032576
