Time,PV,OP
1,0.089001877,-4.010332562
2,0.35793422,-3.359289623
3,1.058652146,-1.454657055
4,1.647847397,0.751985096
5,1.682240708,2.804841541
6,1.010510666,3.401246571
7,0.477475388,3.435571217
8,-0.632414596,1.819688343
9,-1.080187576,0.168118977
10,-0.648142593,-0.168234325
11,-0.403074996,-0.387190319
12,-0.056429641,-0.283232189
13,0.598721726,1.088334583
14,0.584183915,1.777860187
15,0.712239487,2.696565174
16,0.45174907,3.027661823
17,-0.424608963,1.68748238
18,-1.149630325,-0.334997631
19,-1.524557846,-2.476362682
20,-1.432379501,-3.939039684
21,-0.674776809,-4.074583508
22,0.359254105,-2.565779186
23,0.682625992,-1.522615887
24,0.837819321,-0.428003765
25,0.816834671,0.371427082
26,0.537553055,0.751885914
27,-0.012018936,0.148458027
28,0.05494426,0.236230396
29,0.228383286,0.629365467
30,0.534104569,1.450150989
31,0.452164872,2.022157215
32,-0.253905075,1.069356464
33,-0.545641677,-0.03467033
34,-0.608114975,-0.865194775
35,-0.344996231,-0.920095898
36,0.274110062,0.01573708
37,0.427117569,0.893811726
38,0.027737839,0.537385487
39,0.403481705,1.324933552
40,0.099354966,1.349408649
41,-0.162409561,0.964341663
42,-0.125754135,0.828206562
43,0.003247483,0.934220814
44,0.217007859,1.198106312
45,0.10307811,1.289029621
46,-0.453699844,0.380063557
47,-0.71490361,-0.720892407
48,-0.534487503,-1.101683117
49,-0.584051864,-1.766722179
50,-0.278643386,-1.907923199
51,0.174168808,-1.187548138
52,0.169926865,-0.954325176
53,0.19897197,-0.554880596
54,0.56754039,0.367429279
55,0.871911271,1.737065815
56,0.593735917,1.968698048
57,0.504487259,2.750009083
58,0.44418071,3.183095478
59,-0.239237564,2.264501118
60,-0.439558761,1.74280312
61,-0.305903213,1.371522449
62,0.256661637,2.097272419
63,0.353570206,2.524014973
64,-0.35161473,1.538934254
65,-0.669321792,0.568227314
66,-0.659876602,-0.113028027
67,-0.512827652,-0.624422527
68,-0.598803298,-1.317015148
69,-0.028689163,-0.894876934
70,0.4602444,0.082467579
71,0.175866349,0.02889397
72,-0.187792556,-0.429560162
73,-0.708979385,-1.633722759
74,-0.524718063,-2.247892834
75,-0.009157913,-1.927126385
76,0.879754288,0.16473534
77,0.912495835,1.383683704
78,0.758733017,2.162633442
79,0.484982712,2.554097675
80,0.067334397,2.038129353
81,-0.178900497,1.747281574
82,-0.582888382,0.642892384
83,-1.016550796,-0.872442699
84,-0.716879623,-1.38572929
85,0.122067673,-0.59496925
86,0.38716243,0.227555775
87,0.374798996,0.627042316
88,0.200268967,0.826863789
89,-0.287901657,0.091558002
90,-0.547953384,-0.950266338
91,-0.953261154,-2.405661083
92,-0.41084935,-2.520391918
93,0.025387986,-2.041643597
94,0.13842128,-1.705748058
95,0.087189896,-1.629026867
96,-0.051264541,-1.954176403
97,0.533498032,-0.730749584
98,0.567143662,0.163148426
99,0.486123307,0.542863392
100,0.544808609,1.252572559
101,0.701886399,2.151666187
102,0.580174668,2.726373218
103,0.447606308,3.245263599
104,0.015877945,2.914151691
105,-0.326967971,2.333283924
106,-0.729647415,1.040513538
107,-0.317522781,1.192269825
108,-0.665636795,-0.032747723
109,-0.64887883,-0.754805065
110,-0.589827316,-1.296598888
111,-0.476664321,-1.80238197
112,0.279450638,-0.930384136
113,0.880971177,0.659211658
114,0.422284348,0.761399769
115,-0.460028427,-0.421717144
116,-1.356302993,-2.843882061
117,-1.674635665,-5.237959362
118,-1.259958999,-6.307608105
119,-0.348662155,-5.932383038
120,1.251912339,-3.045210339
121,2.220277054,0.475984119
122,2.446351273,3.485070728
123,1.663144333,4.772878193
124,1.113980515,5.505906605
125,0.290078385,5.108476185
126,-0.511561172,3.779817127
127,-1.046702163,1.888936542
128,-0.997683303,0.867944263
129,-1.122015731,-0.692350842
130,-1.135416763,-1.82158897
131,-1.082438247,-3.10983894
132,-0.50926091,-3.272985912
133,0.141694291,-2.505793072
134,0.433743699,-1.692636944
135,0.686772568,-0.725790478
136,0.91104625,0.515962147
137,0.614567978,0.973874592
138,-0.277498977,-0.041655041
139,-0.849627273,-1.693994976
140,-0.633326309,-2.324751354
141,-0.387240188,-2.518644787
142,-0.104136245,-2.22859428
143,0.334435685,-1.425211407
144,1.503945572,1.233106159
145,2.231160386,4.465577625
146,1.349293931,5.522393726
147,0.446496232,4.972634815
148,-0.828585403,3.061299824
149,-1.611902969,0.386487507
150,-1.822108047,-1.877863384
151,-1.354792373,-3.020163036
152,-0.201338546,-2.272291637
153,0.612393601,-0.708006359
154,0.557706101,-0.044634319
155,-0.19909169,-1.150331951
156,-0.152724044,-1.260866619
157,0.379990799,-0.270124889
158,0.519631608,0.625295185
159,0.127759202,0.289117359
160,-0.066729324,0.162416004
161,-0.306666152,-0.446974255
162,-7.89333E-05,-0.164236523
163,-0.211016433,-0.651411511
164,-0.271799819,-1.041639782
165,0.612988694,0.432572864
166,1.223004563,2.606130146
167,0.792401535,3.142953419
168,-0.258353012,1.766850971
169,-0.497885482,0.853806995
170,-0.55240895,0.274537586
171,-0.490076797,-0.224230267
172,-0.306181686,-0.441877819
173,0.023232682,-0.032003857
174,-0.198912399,-0.343302227
175,-0.159125106,-0.465231396
176,-0.409323471,-1.222712017
177,-0.582773941,-2.036653973
178,-0.720381515,-2.93279121
179,-0.766077774,-3.892919994
180,-0.553477066,-4.418920971
181,0.004468186,-3.889006115
182,0.518296463,-2.881430126
183,1.483376725,-0.269319988
184,1.534264786,1.664819263
185,1.166348679,2.53809502
