Time,SP,PV,OP,Error
1,0,-1.5707,-0.80926,1.5707
2,0,-1.4994,-0.80926,1.4994
3,0,-1.2357,-0.80926,1.2357
4,0,-0.74773,-0.80926,0.74773
5,0,-0.14244,-0.51187,0.14244
6,0,0.34905,-0.384,-0.34905
7,0,0.58485,-0.54661,-0.58485
8,0,0.67465,-0.59232,-0.67465
9,0,0.68768,-0.71637,-0.68768
10,0,0.53894,-0.79854,-0.53894
11,0,0.27022,-0.80926,-0.27022
12,0,-0.014942,-0.80926,0.014942
13,0,-0.37002,-0.80926,0.37002
14,0,-0.80736,-0.80926,0.80736
15,0,-1.257,-0.80926,1.257
16,0,-1.5925,-0.80926,1.5925
17,0,-1.7936,-0.80926,1.7936
18,0,-1.8185,-0.80926,1.8185
19,0,-1.543,-0.80926,1.543
20,0,-1.0354,-0.80926,1.0354
21,0,-0.4276,-0.80926,0.4276
22,0,0.15712,-0.52025,-0.15712
23,0,0.54688,-0.36663,-0.54688
24,0,0.74951,-0.29406,-0.74951
25,0,0.81778,-0.21534,-0.81778
26,0,0.68069,-0.54661,-0.68069
27,0,0.43144,-0.77895,-0.43144
28,0,0.18686,-0.80926,-0.18686
29,0,-0.11502,-0.80926,0.11502
30,0,-0.50685,-0.80926,0.50685
31,0,-0.94995,-0.80926,0.94995
32,0,-1.3181,-0.80926,1.3181
33,0,-1.5529,-0.80926,1.5529
34,0,-1.7225,-0.80926,1.7225
35,0,-1.6722,-0.80926,1.6722
36,0,-1.3047,-0.80926,1.3047
37,0,-0.7761,-0.80926,0.7761
38,0,-0.29297,-0.80926,0.29297
39,0,0.11339,-0.75167,-0.11339
40,0,0.41499,-0.62632,-0.41499
41,0,0.49972,-0.66358,-0.49972
42,0,0.37661,-0.78893,-0.37661
43,0,0.1578,-0.80926,-0.1578
44,0,-0.072521,-0.80926,0.072521
45,0,-0.30284,-0.80926,0.30284
46,0,-0.64737,-0.80926,0.64737
47,0,-1.1262,-0.80926,1.1262
48,0,-1.5018,-0.80926,1.5018
49,0,-1.7319,-0.80926,1.7319
50,0,-1.8844,-0.80926,1.8844
51,0,-1.8452,-0.80926,1.8452
52,0,-1.5921,-0.80926,1.5921
53,0,-1.1158,-0.80926,1.1158
54,0,-0.51262,-0.80926,0.51262
55,0,0.065121,-0.64172,-0.065121
56,0,0.52823,-0.45822,-0.52823
57,0,0.77665,-0.45828,-0.77665
58,0,0.90196,-0.13114,-0.90196
59,0,0.87957,-0.12911,-0.87957
60,0,0.70181,-0.48883,-0.70181
61,0,0.50073,-0.63433,-0.50073
62,0,0.21031,-0.78524,-0.21031
63,0,-0.18522,-0.80926,0.18522
64,0,-0.59418,-0.80926,0.59418
65,0,-1.0004,-0.80926,1.0004
66,0,-1.3549,-0.80926,1.3549
67,0,-1.5279,-0.80926,1.5279
68,0,-1.4748,-0.80926,1.4748
69,0,-1.1237,-0.80926,1.1237
70,0,-0.53728,-0.77052,0.53728
71,0,0.031122,-0.68619,-0.031122
72,0,0.5392,-0.26936,-0.5392
73,0,0.90073,0.04367,-0.90073
74,0,0.99561,-0.15868,-0.99561
75,0,0.94282,-0.20925,-0.94282
76,0,0.78064,-0.22729,-0.78064
77,0,0.57212,-0.20931,-0.57212
78,0,0.30697,-0.38572,-0.30697
