time,SP,PV,OP
1,110,-2.522541806,0.67611204
2,110,-2.642541806,0.77611204
3,110,-2.522541806,0.86611204
4,110,-2.142541806,0.93611204
5,110,-2.392541806,1.02611204
6,110,-1.142541806,1.04611204
7,110,0.727458194,0.99611204
8,110,2.107458194,0.89611204
9,110,3.107458194,0.76611204
10,110,3.727458194,0.61611204
11,110,4.107458194,0.46611204
12,110,4.227458194,0.30611204
13,110,4.357458194,0.14611204
14,110,3.977458194,0.00611204
15,110,4.357458194,-0.16388796
16,110,4.107458194,-0.30388796
17,110,3.977458194,-0.45388796
18,110,4.477458194,-0.62388796
19,110,4.357458194,-0.78388796
20,110,3.977458194,-0.92388796
21,110,2.727458194,-1.00388796
22,110,2.227458194,-1.07388796
23,110,1.857458194,-1.14388796
24,110,1.227458194,-1.17388796
25,110,-0.022541806,-1.15388796
26,110,-1.272541806,-1.09388796
27,110,-1.772541806,-1.02388796
28,110,-2.272541806,-0.93388796
29,110,-2.142541806,-0.85388796
30,110,-2.142541806,-0.77388796
31,110,-2.142541806,-0.70388796
32,110,-2.522541806,-0.60388796
33,110,-2.522541806,-0.51388796
34,110,-2.142541806,-0.44388796
35,110,-1.772541806,-0.38388796
36,110,-1.272541806,-0.34388796
37,110,-0.392541806,-0.34388796
38,110,-0.142541806,-0.34388796
39,110,0.357458194,-0.36388796
40,110,0.227458194,-0.37388796
41,110,0.107458194,-0.37388796
42,110,-0.022541806,-0.37388796
43,110,0.227458194,-0.38388796
44,110,0.107458194,-0.38388796
45,110,0.357458194,-0.40388796
46,110,0.477458194,-0.42388796
47,110,0.227458194,-0.43388796
48,110,0.227458194,-0.44388796
49,110,0.107458194,-0.44388796
50,110,-0.142541806,-0.43388796
51,110,-0.522541806,-0.41388796
52,110,-0.642541806,-0.38388796
53,110,-1.022541806,-0.34388796
54,110,-1.522541806,-0.28388796
55,110,-1.642541806,-0.22388796
56,110,-2.142541806,-0.13388796
57,110,-2.142541806,-0.05388796
58,110,-2.522541806,0.03611204
59,110,-2.892541806,0.14611204
60,110,-3.142541806,0.26611204
61,110,-2.892541806,0.36611204
62,110,-2.772541806,0.46611204
63,110,-2.522541806,0.55611204
64,110,-2.142541806,0.62611204
65,110,-1.142541806,0.65611204
66,110,-1.022541806,0.68611204
67,110,-0.522541806,0.69611204
68,110,0.477458194,0.66611204
69,110,0.727458194,0.63611204
70,110,0.857458194,0.59611204
71,110,0.977458194,0.55611204
72,110,0.607458194,0.54611204
73,110,0.227458194,0.53611204
74,110,0.227458194,0.52611204
75,110,0.607458194,0.50611204
76,110,0.357458194,0.49611204
77,110,0.357458194,0.47611204
78,110,-0.272541806,0.49611204
79,110,-0.642541806,0.52611204
80,110,-1.022541806,0.56611204
81,110,-1.772541806,0.64611204
82,110,-2.142541806,0.72611204
83,110,-2.142541806,0.80611204
84,110,-2.392541806,0.89611204
85,110,-2.142541806,0.96611204
86,110,-2.522541806,1.06611204
87,110,-2.392541806,1.14611204
88,110,-1.272541806,1.17611204
89,110,-0.642541806,1.18611204
90,110,-0.142541806,1.18611204
91,110,0.607458194,1.15611204
92,110,0.727458194,1.12611204
93,110,1.477458194,1.05611204
94,110,2.357458194,0.95611204
95,110,2.857458194,0.84611204
96,110,3.477458194,0.70611204
97,110,3.107458194,0.59611204
98,110,3.607458194,0.45611204
99,110,3.607458194,0.32611204
100,110,3.227458194,0.21611204
101,110,3.107458194,0.10611204
102,110,2.727458194,0.00611204
103,110,3.107458194,-0.11388796
104,110,3.107458194,-0.22388796
105,110,3.477458194,-0.35388796
106,110,3.607458194,-0.49388796
107,110,3.357458194,-0.61388796
108,110,3.357458194,-0.73388796
109,110,3.477458194,-0.86388796
110,110,2.857458194,-0.95388796
111,110,1.977458194,-1.01388796
112,110,1.227458194,-1.05388796
113,110,0.977458194,-1.08388796
114,110,0.477458194,-1.09388796
115,110,-0.522541806,-1.06388796
116,110,-1.522541806,-0.99388796
117,110,-2.142541806,-0.90388796
118,110,-2.142541806,-0.82388796
119,110,-2.392541806,-0.73388796
120,110,-2.522541806,-0.64388796
121,110,-2.642541806,-0.54388796
122,110,-2.142541806,-0.47388796
123,110,-1.392541806,-0.43388796
124,110,-0.772541806,-0.42388796
125,110,-0.642541806,-0.40388796
126,110,-0.522541806,-0.38388796
127,110,-0.392541806,-0.37388796
128,110,-0.142541806,-0.37388796
129,110,-0.522541806,-0.34388796
130,110,0.107458194,-0.36388796
131,110,0.727458194,-0.39388796
132,110,0.227458194,-0.40388796
133,110,0.607458194,-0.42388796
134,110,0.477458194,-0.44388796
135,110,0.477458194,-0.46388796
136,110,0.227458194,-0.46388796
137,110,-0.772541806,-0.42388796
138,110,-1.392541806,-0.36388796
139,110,-1.642541806,-0.30388796
140,110,-2.142541806,-0.21388796
141,110,-2.392541806,-0.12388796
142,110,-2.392541806,-0.04388796
143,110,-2.892541806,0.07611204
144,110,-2.522541806,0.15611204
145,110,-2.772541806,0.26611204
146,110,-3.022541806,0.37611204
147,110,-2.642541806,0.46611204
148,110,-2.522541806,0.55611204
149,110,-2.522541806,0.64611204
150,110,-2.522541806,0.73611204
151,110,-1.642541806,0.78611204
152,110,-1.272541806,0.82611204
153,110,-0.892541806,0.84611204
154,110,-0.272541806,0.84611204
