Time,SP,PV,OP,error
1,-0.99994,-1.0933,-1.1707,1.0933
2,-0.99994,-1.1674,-1.2445,1.1674
3,-0.99994,-1.5786,-1.5031,1.5786
4,-0.99994,-1.3285,-1.3923,1.3285
5,-0.99994,-1.2925,-1.3554,1.2925
6,-0.99994,-1.1823,-1.3184,1.1823
7,-0.99994,-1.2777,-1.3923,1.2777
8,-0.99994,-1.3434,-1.4662,1.3434
9,-0.99994,-1.3073,-1.4293,1.3073
10,-0.99994,-1.0042,-1.2445,1.0042
11,-0.99994,-1.1229,-1.3554,1.1229
12,-0.99994,-1.284,-1.4662,1.284
13,-0.99994,-1.1293,-1.3923,1.1293
14,-0.99994,-1.2543,-1.4662,1.2543
15,-0.99994,-1.2925,-1.5401,1.2925
16,-0.99994,-0.77744,-1.2076,0.77744
17,-0.99994,-0.59939,-1.0968,0.59939
18,-0.99994,-1.0487,-1.4293,1.0487
19,-0.99994,-0.75412,-1.2445,0.75412
20,-0.99994,-1.1378,-1.4662,1.1378
21,-0.99994,-0.77744,-1.2815,0.77744
22,-0.99994,-1.1017,-1.5031,1.1017
23,-0.99994,-1.0487,-1.4662,1.0487
24,-0.99994,-0.93853,-1.4293,0.93853
25,-0.99994,-1.1145,-1.5401,1.1145
26,-0.99994,-1.2332,-1.6509,1.2332
27,-0.99994,-1.0042,-1.5031,1.0042
28,-0.99994,-1.0572,-1.5401,1.0572
29,-0.99994,-0.89402,-1.4662,0.89402
30,-0.99994,-1.0869,-1.577,1.0869
31,-0.99994,-0.96184,-1.5401,0.96184
32,-0.99994,-0.70325,-1.3923,0.70325
33,-0.99994,-0.79228,-1.4293,0.79228
34,-0.99994,-0.54852,-1.2815,0.54852
35,-0.99994,-0.73293,-1.4293,0.73293
36,-0.99994,-0.71809,-1.4293,0.71809
37,-0.99994,-0.93217,-1.577,0.93217
38,-0.99994,-0.5782,-1.3554,0.5782
39,-0.99994,-0.6439,-1.4293,0.6439
40,-0.99994,-0.88766,-1.577,0.88766
41,-0.99994,-0.76896,-1.5031,0.76896
42,-0.99994,-0.73929,-1.5401,0.73929
43,-0.99994,-0.59939,-1.4293,0.59939
44,-0.99994,-0.65874,-1.4662,0.65874
45,-0.99994,-0.45314,-1.3554,0.45314
46,-0.99994,-0.37259,-1.2815,0.37259
47,-0.99994,-0.62271,-1.4662,0.62271
48,-0.99994,-0.38743,-1.3554,0.38743
49,-0.99994,-0.56336,-1.4662,0.56336
50,-0.99994,-0.49765,-1.3923,0.49765
51,-0.99994,-0.65874,-1.5031,0.65874
52,-0.99994,-0.4383,-1.3923,0.4383
53,-0.99994,-0.69689,-1.577,0.69689
54,-0.99994,-0.37259,-1.3554,0.37259
55,-0.99994,-0.35776,-1.3554,0.35776
56,-0.99994,-0.31325,-1.3184,0.31325
57,-0.99994,-0.37259,-1.3554,0.37259
58,-0.99994,-0.28357,-1.3184,0.28357
59,-0.99994,-0.39379,-1.4293,0.39379
60,-0.99994,-0.31325,-1.3554,0.31325
61,-0.99994,-0.36412,-1.3923,0.36412
62,-0.99994,-0.31325,-1.3554,0.31325
63,-0.99994,-0.12884,-1.2445,0.12884
64,-0.99994,-0.36412,-1.3923,0.36412
65,-0.99994,-0.39379,-1.4293,0.39379
66,-0.99994,-0.114,-1.2445,0.114
67,-0.99994,-0.16699,-1.2815,0.16699
68,-0.99994,-0.048296,-1.2076,0.048296
69,-0.99994,-0.18819,-1.3184,0.18819
70,-0.99994,-0.38743,-1.4662,0.38743
71,-0.99994,-0.33444,-1.4293,0.33444
72,-0.99994,-0.054655,-1.2445,0.054655
73,-0.99994,-0.13732,-1.2815,0.13732
74,-0.99994,-0.23906,-1.3554,0.23906
75,-0.99994,0.061923,-1.1707,-0.061923
76,-0.99994,-0.12248,-1.2815,0.12248
77,-0.99994,-0.17335,-1.3184,0.17335
78,-0.99994,-0.16699,-1.3184,0.16699
79,-0.99994,0.20182,-1.0968,-0.20182
80,-0.99994,0.23785,-1.0598,-0.23785
81,-0.99994,0.097956,-1.1338,-0.097956
82,-0.99994,0.18062,-1.0968,-0.18062
83,-0.99994,0.1573,-1.0968,-0.1573
84,-0.99994,0.055564,-1.1707,-0.055564
85,-0.99994,0.15095,-1.0968,-0.15095
86,-0.99994,0.11279,-1.1338,-0.11279
87,-0.99994,0.23785,-1.0598,-0.23785
88,-0.99994,0.17214,-1.0598,-0.17214
89,-0.99994,-0.16699,-1.2815,0.16699
90,-0.99994,0.15095,-1.0598,-0.15095
91,-0.99994,0.18698,-1.0598,-0.18698
92,-0.99994,0.07676,-1.1338,-0.07676
93,-0.99994,0.047085,-1.1338,-0.047085
94,-0.99994,0.36503,-0.94905,-0.36503
95,-0.99994,0.055564,-1.1338,-0.055564
96,-0.99994,0.36503,-0.94905,-0.36503
97,-0.99994,0.30568,-0.98595,-0.30568
98,-0.99994,0.23149,-1.0229,-0.23149
99,-0.99994,0.5028,-0.8382,-0.5028
100,-0.99994,0.74019,-0.69045,-0.74019
