Time,SP,PV,OP
18/07/24 0:26,0,-0.155968405,3.631840115
18/07/24 0:26,0,-0.305852689,3.077770595
18/07/24 0:26,0,-0.395160772,2.338566195
18/07/24 0:26,0,-0.484468855,1.475933435
18/07/24 0:26,0,-0.573776938,0.613308315
18/07/24 0:26,0,-0.711162008,-0.249324435
18/07/24 0:26,0,-0.724938132,-1.111957185
18/07/24 0:27,0,-0.754730917,-2.059871305
18/07/24 0:27,0,-0.784523703,-3.348933805
18/07/24 0:27,0,-0.829883493,-2.790340055
18/07/24 0:27,0,-0.760376669,-5.311824435
18/07/24 0:27,0,-0.643592693,-3.219379065
18/07/24 0:27,0,-0.565552451,-3.206355685
18/07/24 0:27,0,-0.451462485,-2.905574435
18/07/24 0:27,0,-0.354059286,-2.647723785
18/07/24 0:27,0,-0.256656058,-2.389865515
18/07/24 0:27,0,-0.15925286,-2.132014865
18/07/24 0:27,0,-0.093610153,-1.874156585
18/07/24 0:27,0,-0.027967453,-1.616305945
18/07/24 0:28,0,0.037675252,-1.358447665
18/07/24 0:28,0,0.103317954,-1.100597015
18/07/24 0:28,0,0.145100795,-0.842738745
18/07/24 0:28,0,0.170977064,-0.584888095
18/07/24 0:28,0,0.196853332,-0.327037445
18/07/24 0:28,0,0.222729601,-0.069179175
18/07/24 0:28,0,0.24860587,0.188671475
18/07/24 0:28,0,0.274482153,0.446529755
18/07/24 0:28,0,0.300358407,0.704380395
18/07/24 0:28,0,0.31195166,0.962238675
18/07/24 0:28,0,0.319974117,1.220089325
18/07/24 0:28,0,0.327996604,1.477947595
18/07/24 0:29,0,0.336019062,1.735798245
18/07/24 0:29,0,0.337079726,1.943592435
18/07/24 0:29,0,0.310293041,1.951160795
18/07/24 0:29,0,0.283506386,1.958729155
18/07/24 0:29,0,0.256719716,1.966297515
18/07/24 0:29,0,0.229933046,1.973865875
18/07/24 0:29,0,0.203146376,1.981434235
18/07/24 0:29,0,0.132271074,1.989002595
18/07/24 0:29,0,0.032003346,1.996570955
18/07/24 0:29,0,-0.04920309,1.946758635
18/07/24 0:29,0,-0.054164365,1.667400725
18/07/24 0:29,0,-0.059125639,1.388042815
18/07/24 0:30,0,-0.064086914,1.108692535
18/07/24 0:30,0,-0.069048189,0.829334625
18/07/24 0:30,0,-0.122331925,0.549976715
18/07/24 0:30,0,-0.187696285,0.270618805
18/07/24 0:30,0,-0.253060646,-0.197940465
18/07/24 0:30,0,-0.318425007,-0.792628875
18/07/24 0:30,0,-0.365744717,-1.387324925
18/07/24 0:30,0,-0.40855325,-1.982013335
18/07/24 0:30,0,-0.451361783,-2.576709385
18/07/24 0:30,0,-0.494170286,-3.171397795
18/07/24 0:30,0,-0.558849491,-3.305636995
18/07/24 0:30,0,-0.62899629,-3.324763885
18/07/24 0:31,0,-0.699143149,-3.343890785
18/07/24 0:31,0,-0.388269968,-3.363010045
18/07/24 0:31,0,-0.304184236,-3.382136935
18/07/24 0:31,0,-0.220098518,-3.011394135
18/07/24 0:31,0,-0.1360128,-2.640643705
18/07/24 0:31,0,-0.051927075,-2.269900915
18/07/24 0:31,0,0.032158649,-1.899158115
18/07/24 0:31,0,0.116244368,-1.528415315
18/07/24 0:31,0,0.191642888,-1.157664885
18/07/24 0:31,0,0.232292615,-0.786922095
18/07/24 0:31,0,0.272942327,-0.416179295
18/07/24 0:31,0,0.313592069,-0.045428865
18/07/24 0:32,0,0.354241781,0.325313935
18/07/24 0:32,0,0.394891523,0.696056725
18/07/24 0:32,0,0.435541235,1.066799525
18/07/24 0:32,0,0.476190947,1.437549955
18/07/24 0:32,0,0.478473596,1.808292755
18/07/24 0:32,0,0.471164458,2.179035555
18/07/24 0:32,0,0.463855319,2.549785975
18/07/24 0:32,0,0.45654618,2.872524625
18/07/24 0:32,0,0.449237041,3.003246675
18/07/24 0:32,0,0.441927902,3.133976345
18/07/24 0:32,0,0.434618764,3.264706025
18/07/24 0:32,0,0.427309625,3.395428065
18/07/24 0:33,0,0.413579159,3.526157745
18/07/24 0:33,0,0.374163292,3.656879785
18/07/24 0:33,0,0.334747426,3.787609465
18/07/24 0:33,0,0.29533156,3.918331505
18/07/24 0:33,0,0.182278134,3.886776335
18/07/24 0:33,0,0.22350242,3.611797695
18/07/24 0:33,0,-0.125115134,3.336819055
18/07/24 0:33,0,0.074185394,3.061840425
18/07/24 0:33,0,0.01159853,2.786861785
18/07/24 0:33,0,-0.050988331,2.511883145
18/07/24 0:33,0,-0.113575198,2.236904505
18/07/24 0:33,0,-0.176162057,1.961918245
18/07/24 0:34,0,-0.342484213,1.330105195
18/07/24 0:34,0,-0.430374838,0.609074005
18/07/24 0:34,0,-0.485973872,-0.111957185
18/07/24 0:34,0,-0.520045139,-0.832980745
18/07/24 0:34,0,-0.554116405,-1.554011935
18/07/24 0:34,0,-0.588187672,-2.275043125
18/07/24 0:34,0,-0.587015964,-2.554568885
18/07/24 0:34,0,-0.577033497,-2.723727815
18/07/24 0:34,0,-0.567051031,-2.892879125
18/07/24 0:34,0,-0.557068564,-3.062030425
18/07/24 0:34,0,-0.485980429,-3.231189365
18/07/24 0:34,0,-0.484783865,-3.304629915
18/07/24 0:35,0,-0.277440526,-2.995227455
18/07/24 0:35,0,-0.201001562,-2.685824985
18/07/24 0:35,0,-0.124562599,-2.376422515
18/07/24 0:35,0,-0.048123628,-2.067020055
18/07/24 0:35,0,0.028315344,-1.757609955
18/07/24 0:35,0,0.104754314,-1.448207495
18/07/24 0:35,0,0.165786199,-1.138805025
18/07/24 0:35,0,0.222966306,-0.829402555
18/07/24 0:35,0,0.273579143,-0.520000095
18/07/24 0:35,0,0.297922872,-0.210597625
18/07/24 0:35,0,0.322266601,0.098804835
18/07/24 0:35,0,0.34661033,0.408214935
18/07/24 0:36,0,0.352530383,0.717617395
18/07/24 0:36,0,0.358450435,1.027019865
18/07/24 0:36,0,0.364370458,1.336422335
18/07/24 0:36,0,0.37029051,1.645824795
18/07/24 0:36,0,0.355647348,1.733028775
18/07/24 0:36,0,0.335863374,1.764675505
18/07/24 0:36,0,0.316079401,1.796322235
18/07/24 0:36,0,0.296295427,1.827968965
18/07/24 0:36,0,0.276511453,1.859615685
18/07/24 0:36,0,0.256727479,1.891262415
18/07/24 0:36,0,0.236943506,1.922909145
18/07/24 0:36,0,0.205224298,1.954563505
