PV,OP,,,,pv = (PV1 - mean(PV)),op = (OP1 - mean(OP),,x1 = op^2,x2 = pv^2,,b1
-0.49218,0.89177,,meanPV,,-0.492180108,0.891769937,,0.795253621,0.242241259,,1
-0.33228,0.8679,,1.08E-07,,-0.332280108,0.867899937,,0.753250301,0.11041007,,1
-0.18601,0.84371,,,,-0.186010108,0.843709937,,0.711846458,0.03459976,,1
-0.020872,0.8126,,meanOP,,-0.020872108,0.812599937,,0.660318658,0.000435645,,1
0.11408,0.78454,,6.301E-08,,0.114079892,0.784539937,,0.615502913,0.013014222,,1
0.14446,0.77584,,,,0.144459892,0.775839937,,0.601927608,0.02086866,,1
0.40494,0.71802,,1.08E-07,,0.404939892,0.718019937,,0.51555263,0.163976316,,1
0.45073,0.70024,,6.30E-08,,0.450729892,0.700239937,,0.490335969,0.203157436,,1
0.47641,0.68578,,,,0.476409892,0.685779937,,0.470294122,0.226966385,,1
0.51801,0.66744,,,,0.518009892,0.667439937,,0.445476069,0.268334248,,1
0.72734,0.61289,,,,0.727339892,0.612889937,,0.375634075,0.529023318,,1
0.78462,0.58621,,,,0.784619892,0.586209937,,0.34364209,0.615628375,,1
1.0458,0.51539,,,,1.045799892,0.515389937,,0.265626787,1.093697414,,1
1.0202,0.4998,,,,1.020199892,0.499799937,,0.249799977,1.04080782,,1
1.0281,0.47765,,,,1.028099892,0.477649937,,0.228149462,1.056989388,,1
1.0896,0.44404,,,,1.089599892,0.444039937,,0.197171466,1.187227925,,1
1.0303,0.43468,,,,1.030299892,0.434679937,,0.188946648,1.061517867,,1
1.0724,0.4051,,,,1.072399892,0.405099937,,0.164105959,1.150041528,,1
1.0188,0.39487,,,,1.018799892,0.394869937,,0.155922267,1.03795322,,1
1.1842,0.33953,,,,1.184199892,0.339529937,,0.115280578,1.402329384,,1
1.2424,0.30348,,,,1.242399892,0.303479937,,0.092100072,1.543557492,,1
1.179,0.29189,,,,1.178999892,0.291889937,,0.085199735,1.390040745,,1
1.2411,0.25512,,,,1.241099892,0.255119937,,0.065086182,1.540328942,,1
1.2536,0.22755,,,,1.253599892,0.227549937,,0.051778974,1.571512689,,1
1.3948,0.17262,,,,1.394799892,0.172619937,,0.029797643,1.945466739,,1
1.4851,0.12557,,,,1.485099892,0.125569937,,0.015767809,2.205521689,,1
1.4958,0.093511,,,,1.495799892,0.093510937,,0.008744295,2.237417317,,1
1.4957,0.063498,,,,1.495699892,0.063497937,,0.004031988,2.237118167,,1
1.5224,0.027852,,,,1.522399892,0.027851937,,0.00077573,2.317701431,,1
1.4319,0.016372,,,,1.431899892,0.016371937,,0.00026804,2.050337301,,1
1.461,-0.018523,,,,1.460999892,-0.018523063,,0.000343104,2.134520684,,1
1.4283,-0.040955,,,,1.428299892,-0.040955063,,0.001677317,2.040040581,,1
1.501,-0.084964,,,,1.500999892,-0.084964063,,0.007218892,2.253000676,,1
1.4742,-0.10946,,,,1.474199892,-0.109460063,,0.011981505,2.173265322,,1
1.6059,-0.16682,,,,1.605899892,-0.166820063,,0.027828933,2.578914463,,1
1.5676,-0.19099,,,,1.567599892,-0.190990063,,0.036477204,2.457369421,,1
1.6244,-0.23443,,,,1.624399892,-0.234430063,,0.054957454,2.638675009,,1
1.5682,-0.2552,,,,1.568199892,-0.255200063,,0.065127072,2.459250901,,1
1.4322,-0.258,,,,1.432199892,-0.258000063,,0.066564033,2.051196531,,1
1.4834,-0.29756,,,,1.483399892,-0.297560063,,0.088541991,2.20047524,,1
1.476,-0.32578,,,,1.475999892,-0.325780063,,0.106132649,2.178575681,,1
1.3884,-0.33697,,,,1.388399892,-0.336970063,,0.113548823,1.92765426,,1
1.4512,-0.37808,,,,1.451199892,-0.378080063,,0.142944534,2.105981127,,1
1.4932,-0.41609,,,,1.493199892,-0.416090063,,0.173130941,2.229645917,,1
1.4746,-0.44215,,,,1.474599892,-0.442150063,,0.195496678,2.174444841,,1
1.5876,-0.49558,,,,1.587599892,-0.495580063,,0.245599599,2.520473417,,1
1.5029,-0.50961,,,,1.502899892,-0.509610063,,0.259702416,2.258708085,,1
1.4425,-0.52704,,,,1.442499892,-0.527040063,,0.277771228,2.080805938,,1
1.4726,-0.56236,,,,1.472599892,-0.562360063,,0.31624884,2.168550442,,1
1.5196,-0.60186,,,,1.519599892,-0.601860063,,0.362235535,2.309183832,,1
1.4847,-0.625,,,,1.484699892,-0.625000063,,0.390625079,2.204333769,,1
1.481,-0.65404,,,,1.480999892,-0.654040063,,0.427768404,2.19336068,,1
1.4215,-0.67125,,,,1.421499892,-0.671250063,,0.450576647,2.020661943,,1
1.6051,-0.7385,,,,1.605099892,-0.738500063,,0.545382343,2.576345663,,1
1.7118,-0.79322,,,,1.711799892,-0.793220063,,0.629198068,2.93025887,,1
1.5315,-0.78957,,,,1.531499892,-0.789570063,,0.623420884,2.345491919,,1
1.6674,-0.84898,,,,1.667399892,-0.848980063,,0.720767147,2.7802224,,1
1.5494,-0.85758,,,,1.549399892,-0.857580063,,0.735443564,2.400640025,,1
1.52,-0.88248,,,,1.519999892,-0.882480063,,0.778771062,2.310399672,,1
1.5632,-0.92211,,,,1.563199892,-0.922110063,,0.850286968,2.443593902,,1
1.5273,-0.94594,,,,1.527299892,-0.945940063,,0.894802603,2.33264496,,1
1.6235,-0.99688,,,,1.623499892,-0.996880063,,0.99376986,2.635751899,,1
1.4851,-1.0004,,,,1.485099892,-1.000400063,,1.000800286,2.205521689,,1
1.1405,-0.95778,,,,1.140499892,-0.957780063,,0.917342649,1.300740004,,1
0.89749,-0.92962,,,,0.897489892,-0.929620063,,0.864193462,0.805488106,,1
0.70323,-0.90689,,,,0.703229892,-0.906890063,,0.822449586,0.494532281,,1
0.61638,-0.9029,,,,0.616379892,-0.902900063,,0.815228524,0.379924171,,1
0.45559,-0.88157,,,,0.455589892,-0.881570063,,0.777165776,0.20756215,,1
0.37729,-0.87442,,,,0.377289892,-0.874420063,,0.764610447,0.142347663,,1
0.24434,-0.85418,,,,0.244339892,-0.854180063,,0.72962358,0.059701983,,1
0.02191,-0.81241,,,,0.021909892,-0.812410063,,0.66001011,0.000480043,,1
-0.079613,-0.79168,,,,-0.079613108,-0.791680063,,0.626757322,0.006338247,,1
-0.25836,-0.75264,,,,-0.258360108,-0.752640063,,0.566467064,0.066749945,,1
-0.39967,-0.7179,,,,-0.399670108,-0.717900063,,0.5153805,0.159736195,,1
-0.3789,-0.7145,,,,-0.378900108,-0.714500063,,0.51051034,0.143565292,,1
-0.61498,-0.65736,,,,-0.614980108,-0.657360063,,0.432122252,0.378200533,,1
-0.81428,-0.60324,,,,-0.814280108,-0.603240063,,0.363898574,0.663052094,,1
-0.78496,-0.59333,,,,-0.784960108,-0.593330063,,0.352040564,0.616162371,,1
-0.93673,-0.54582,,,,-0.936730108,-0.545820063,,0.297919541,0.877463295,,1
-0.95096,-0.52427,,,,-0.950960108,-0.524270063,,0.274859099,0.904325127,,1
-0.95249,-0.5051,,,,-0.952490108,-0.505100063,,0.255126074,0.907237406,,1
-1.008,-0.47453,,,,-1.008000108,-0.474530063,,0.225178781,1.016064218,,1
-1.0796,-0.43944,,,,-1.079600108,-0.439440063,,0.193107569,1.165536393,,1
-1.1108,-0.41141,,,,-1.110800108,-0.411410063,,0.16925824,1.23387688,,1
-1.0445,-0.40333,,,,-1.044500108,-0.403330063,,0.16267514,1.090980476,,1
-1.1473,-0.36092,,,,-1.147300108,-0.360920063,,0.130263292,1.316297538,,1
-1.1327,-0.34122,,,,-1.132700108,-0.341220063,,0.116431131,1.283009535,,1
-1.2209,-0.30012,,,,-1.220900108,-0.300120063,,0.090072052,1.490597074,,1
-1.1987,-0.28051,,,,-1.198700108,-0.280510063,,0.078685895,1.436881949,,1
-1.2853,-0.23843,,,,-1.285300108,-0.238430063,,0.056848895,1.651996368,,1
-1.2096,-0.22884,,,,-1.209600108,-0.228840063,,0.052367774,1.463132421,,1
-1.2415,-0.19805,,,,-1.241500108,-0.198050063,,0.039223827,1.541322518,,1
-1.1673,-0.18901,,,,-1.167300108,-0.189010063,,0.035724804,1.362589542,,1
