Time,Time,SP,PV,OP
1,18/07/24 0:26,0,0.110681415,-0.293070874
2,18/07/24 0:26,0,0.110881415,-0.567370874
3,18/07/24 0:26,0,0.108981415,-0.824070874
4,18/07/24 0:26,0,0.032181415,-0.480470874
5,18/07/24 0:27,0,-0.017118585,-0.155770874
6,18/07/24 0:27,0,-0.036918585,0.065829126
7,18/07/24 0:27,0,-0.046718585,0.256129126
8,18/07/24 0:27,0,-0.049318585,0.389329126
9,18/07/24 0:27,0,-0.050918585,0.520529126
10,18/07/24 0:28,0,-0.050818585,0.654529126
11,18/07/24 0:28,0,-0.051618585,0.839429126
12,18/07/24 0:28,0,-0.048718585,0.942329126
13,18/07/24 0:28,0,-0.046518585,1.046829126
14,18/07/24 0:28,0,-0.045118585,1.151029126
15,18/07/24 0:29,0,-0.044418585,1.266029126
16,18/07/24 0:29,0,-0.044318585,1.450529126
17,18/07/24 0:29,0,0.037281415,0.915529126
18,18/07/24 0:29,0,0.092581415,0.373629126
19,18/07/24 0:29,0,0.114181415,-0.005370874
20,18/07/24 0:30,0,0.127281415,-0.388870874
21,18/07/24 0:30,0,0.088581415,-0.588270874
22,18/07/24 0:30,0,0.017081415,-0.212270874
23,18/07/24 0:30,0,-0.020318585,0.048029126
24,18/07/24 0:30,0,-0.038118585,0.245829126
25,18/07/24 0:31,0,-0.046718585,0.408929126
26,18/07/24 0:31,0,-0.051318585,0.557029126
27,18/07/24 0:31,0,-0.049618585,0.715029126
28,18/07/24 0:31,0,-0.050118585,0.841929126
29,18/07/24 0:31,0,-0.050118585,0.976829126
30,18/07/24 0:32,0,-0.048018585,1.082329126
31,18/07/24 0:32,0,-0.047818585,1.220229126
32,18/07/24 0:32,0,-0.047918585,1.345629126
33,18/07/24 0:32,0,-0.044318585,1.422429126
34,18/07/24 0:32,0,0.021981415,1.028429126
35,18/07/24 0:33,0,0.091681415,0.394129126
36,18/07/24 0:33,0,0.121181415,-0.143470874
37,18/07/24 0:33,0,0.129281415,-0.532270874
38,18/07/24 0:33,0,0.115981415,-0.753470874
39,18/07/24 0:33,0,0.036981415,-0.382070874
40,18/07/24 0:34,0,-0.008618585,-0.105670874
41,18/07/24 0:34,0,-0.027818585,0.092529126
42,18/07/24 0:34,0,-0.034318585,0.215329126
43,18/07/24 0:34,0,-0.038718585,0.337529126
44,18/07/24 0:34,0,-0.067518585,0.651129126
45,18/07/24 0:35,0,-0.054218585,0.763529126
46,18/07/24 0:35,0,0.014881415,0.347229126
47,18/07/24 0:35,0,0.032581415,0.165429126
48,18/07/24 0:35,0,0.041881415,0.017929126
49,18/07/24 0:35,0,0.041381415,-0.079070874
50,18/07/24 0:36,0,0.048581415,-0.245670874
51,18/07/24 0:36,0,0.042781415,-0.370770874
52,18/07/24 0:36,0,0.046581415,-0.503270874
53,18/07/24 0:36,0,0.043681415,-0.584270874
54,18/07/24 0:36,0,0.047281415,-0.718470874
55,18/07/24 0:37,0,0.042381415,-0.805970874
56,18/07/24 0:37,0,0.045281415,-0.949070874
57,18/07/24 0:37,0,0.038281415,-0.996570874
58,18/07/24 0:37,0,0.036781415,-1.075170874
59,18/07/24 0:37,0,0.030781415,-1.114570874
60,18/07/24 0:37,0,-0.011318585,-0.880770874
61,18/07/24 0:38,0,-0.088818585,-0.152770874
62,18/07/24 0:38,0,-0.110318585,0.240729126
63,18/07/24 0:38,0,-0.115518585,0.551329126
64,18/07/24 0:38,0,-0.121418585,0.855829126
65,18/07/24 0:38,0,-0.069918585,0.764129126
66,18/07/24 0:39,0,-0.013018585,0.476529126
67,18/07/24 0:39,0,0.013781415,0.290829126
68,18/07/24 0:39,0,0.023281415,0.177629126
69,18/07/24 0:39,0,0.025481415,0.097129126
70,18/07/24 0:39,0,0.028081415,0.020729126
71,18/07/24 0:40,0,0.028481415,-0.049070874
72,18/07/24 0:40,0,0.025481415,-0.112570874
73,18/07/24 0:40,0,0.026181415,-0.181370874
74,18/07/24 0:40,0,0.024081415,-0.220570874
75,18/07/24 0:40,0,0.023981415,-0.281570874
76,18/07/24 0:41,0,0.024881415,-0.352770874
77,18/07/24 0:41,0,0.023581415,-0.415370874
78,18/07/24 0:41,0,0.025081415,-0.486970874
79,18/07/24 0:41,0,0.024481415,-0.534370874
80,18/07/24 0:41,0,0.019281415,-0.553670874
81,18/07/24 0:42,0,0.021881415,-0.629570874
82,18/07/24 0:42,0,0.020181415,-0.675570874
83,18/07/24 0:42,0,-0.042518585,-0.241370874
84,18/07/24 0:42,0,-0.093118585,0.270029126
85,18/07/24 0:42,0,-0.112718585,0.655729126
86,18/07/24 0:43,0,-0.053618585,0.636729126
87,18/07/24 0:43,0,0.003481415,0.304529126
88,18/07/24 0:43,0,0.021681415,0.141029126
89,18/07/24 0:43,0,0.031881415,0.008129126
90,18/07/24 0:43,0,0.031481415,-0.068270874
91,18/07/24 0:44,0,0.038181415,-0.204970874
92,18/07/24 0:44,0,0.034381415,-0.290870874
