Data,SI,Sudut,m,n,Status,
1,0, 1.#QNAN, 1.#QNAN, 1.#QNAN, FALSE, 
2,0,2.11575,13.7606, -1.#IND, FALSE, 
3,0,2.58802, -1.#IND,0.58541, FALSE, 
4,0,2.21911, -1.#IND,0.161688, FALSE, 
5,0,1.64785,2.17157, -1.#IND, FALSE, 
6,0,1.5156, -1.#IND, -1.#IND, FALSE, 
7,0,1.31575,3.73419, -1.#IND, FALSE, 
8,0,1.38614, -1.#IND, -1.#IND, FALSE, 
9,0,1.38381, -1.#IND, -1.#IND, FALSE, 
10,0,1.38598, -1.#IND, -1.#IND, FALSE, 
11,0,1.34546,0.08915, -1.#IND, FALSE, 
12,0,1.33831, -1.#IND,9.11E-05, FALSE, 
13,0,1.33538,0.0855001, -1.#IND, FALSE, 
14,0,1.31684,0.554855, -1.#IND, FALSE, 
15,0,1.30623,0.721577,3.33E-05, FALSE, 
16,0,1.29716, -1.#IND, -1.#IND, FALSE, 
17,0,1.29535,0.22331,5.57E-05, FALSE, 
18,0,1.28569,0.805865,0.000208947, FALSE, 
19,0,1.28888,0.781838,0.000399591, FALSE, 
20,0,1.25557, -1.#IND,0.000142072, FALSE, 
21,0,1.23496, -1.#IND,4.99E-05, FALSE, 
22,0,1.21518,0.0585136, -1.#IND, FALSE, 
23,0,1.19204,0.0755086, -1.#IND, FALSE, 
24,0,1.16712,0.0849298, -1.#IND, FALSE, 
25,0,1.17484,0.0862932, -1.#IND, FALSE, 
26,0,1.18143,0.0838668, -1.#IND, FALSE, 
27,0,1.17365,0.0866959, -1.#IND, FALSE, 
28,0,1.15884,0.0794983, -1.#IND, FALSE, 
29,0,1.14336,0.0753828, -1.#IND, FALSE, 
30,0,1.11364,0.078045, -1.#IND, FALSE, 
31,0,1.08798,0.0803308, -1.#IND, FALSE, 
32,0,1.06005,0.0832164, -1.#IND, FALSE, 
33,0,2.40003,6.00735,0.0465539, FALSE, 
34,0,2.55688, -1.#IND,0.00866274, FALSE, 
35,0,2.74361, -1.#IND,0.0494491, FALSE, 
36,0,2.92167, -1.#IND,0.0273959, FALSE, 
37,0,3.13033,2.50E-06, -1.#IND, FALSE, 
38,0,2.93065, -1.#IND,0.446941, FALSE, 
39,0,2.81976, -1.#IND,5.83235, FALSE, 
40,4.54396,2.6955,0.785952,155.376, TRUE, 
41,2.14802,2.63835,0.212185,6.9335, TRUE, 
42,1.73276,2.64151,0.138343,3.37913, TRUE, 
43,1.98135,2.56018,0.222169,2.97659, TRUE, 
44,2.41074,2.41678,0.415623,2.57814, TRUE, 
45,0,1.34688,8.29713, -1.#IND, FALSE, 
46,0,1.25804,77327.2,2.79993, FALSE, 
47,0,1.2277,27.6291,0.0466102, FALSE, 
48,0,1.19659,3.22019,0.0142507, FALSE, 
49,0,1.19423,264.25,0.177971, FALSE, 
50,0,1.1932,17.0773, -1.#IND, FALSE, 
51,0,1.21892,3.19429, -1.#IND, FALSE, 
52,0,1.20063,3.03867, -1.#IND, FALSE, 
53,0,1.1727,3.27542, -1.#IND, FALSE, 
54,0,1.17547,2.64015, -1.#IND, FALSE, 
55,0,1.16117,2.77283, -1.#IND, FALSE, 
56,0,1.15672,2.45932, -1.#IND, FALSE, 
57,0,1.1209,3.25821, -1.#IND, FALSE, 
